Sampling Date,Site ID,Park ID,Project ID,Lat (°N),Long (°W),Water Temp (°C),COND,PH,DO (mg/L),"UV Absorbance, 254nm",DOC,"SUVA, 254nm",Total Iron [mg/L],"Fe Corr'd SUVA, 254nm",HPOA SUVA (254nm),HPOA %,HPON %,HPI SUVA (254nm),HPI %,TPIA SUVA (254nm),TPIA %,AMMONIA_N,NITRATE_NITRITE_N,"NO2-N 
(mg N/L)",PTL,"TDN 
(mg N/L)",UTN (mgN/L),"TDP 
(mg P/L)",UTP (mgP/L),CHLORIDE,SULFATE,"F 
(mg/L)","Br 
(mg/L)",SODIUM,POTASSIUM,CALCIUM,MAGNESIUM,TOC (mgC/L),ANC,DIC (mg/L),d18O,dD,Al (µg/L),P (µg/L),Ti (µg/L),Cr (µg/L),Mn (µg/L),Fe* (µg/L),Co (µg/L),Ni (µg/L),Cu (µg/L),Zn (µg/L),As (µg/L),Sr (µg/L),Cd (µg/L),Sn (µg/L),Sb (µg/L),Te (µg/L),Ba (µg/L),Pb (µg/L),FeTot?,Fe(II)/FeTot,Fe(II) (µg/L),Fe(III) (µg/L),
8/9/2016,AMS 1,NOAT,HEAT,67.474,-162.225,14.3,449.6,7.91,11.7,0.016,1,1.5,0.07,-,-,-,-,-,-,-,-,*0.002,0.079,-,0.002,0.12,0.12,*0.001,*0.000,2.57,27.36,-,-,5.11,0.49,67.33,22.52,0.59,98.51,42.39,-17.5,-128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/8/2017,AMS 1,NOAT,HEAT,67.474,-162.225,9.6,320.1,8.08,11.6,0.051,1.8,2.8,*0.01,-,-,-,-,-,-,-,-,*0.010,0.037,-,*0.001,0.1,0.13,*0.002,0.01,1.18,11.39,-,-,1.76,0.27,35.39,10.71,1.38,84.38,23.07,-17.1,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/18/2017,AMS 1,NOAT,HEAT,67.474,-162.225,7.7,496.8,8.1,11.6,0.036,1.8,2,*0.02,-,-,-,-,-,-,-,-,*0.008,0.073,-,*0.001,0.16,0.13,*0.000,*0.001,1.57,30.7,-,-,3.47,0.4,64.61,23.46,1.26,145.41,41.24,-17.4,-124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/12/2018,AMS 1,NOAT,HEAT,67.474,-162.225,7,430.5,8.4,11.7,0.035,1.5,2.4,*0.04,-,-,-,-,-,-,-,-,*0.009,0.064,-,*0.001,0.12,0.1,*0.001,*0.002,1.81,18.95,-,-,2.48,0.36,48.77,16.74,0.8,96.12,33.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/4/2018,AMS 1,NOAT,HEAT,67.474,-162.225,10.9,579.7,8.3,10.9,0.023,1.6,1.4,*0.03,-,-,-,-,-,-,-,-,*0.005,0.078,-,0.003,0.18,0.12,*0.001,*0.001,2.24,34.13,-,-,4.62,0.5,68.16,25.5,0.9,121.07,43.42,-17,-123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/8/2019,AMS 1,NOAT,HEAT,67.474,-162.225,9.3,337,8.3,11.3,0.044,1.9,2.3,*0.04,,,,,,,,,*0.008,0.058,-,0.002,0.17,0.13,0.004,0.01,1.27,18.08,-,-,2.21,0.36,45.36,15.27,1.05,96.46,-,-16.8,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7/13/2015,AMS 2,NOAT,HEAT,67.268,-162.636,12.3,362.1,8.32,10.4,0.021,1,2.1,-,-,-,-,-,-,-,-,-,*0.001,-,-,*0.000,0.13,0.17,*0.002,*0.001,2.36,17.72,-,-,3.48,0.38,53.9,17.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7/13/2015,AMS 2,NOAT,HEAT,67.268,-162.636,12.3,362.1,8.32,10.4,0.022,1.1,1.9,-,-,-,-,-,-,-,-,-,*0.001,-,-,*0.000,0.13,0.17,*0.002,*0.001,2.36,17.72,-,-,3.48,0.38,53.9,17.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/19/2015,AMS 2,NOAT,HEAT,67.268,-162.636,-,350.3,8.1,-,-,-,-,*0.04,-,-,-,-,-,-,-,-,*0.004,0.106,-,*0.000,0.15,0.16,*0.000,*0.000,2.4,20.31,-,-,3.38,0.33,28.11,19.09,0.95,114.98,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/18/2017,AMS 2,NOAT,HEAT,67.268,-162.636,-,-,-,-,-,-,-,*0.01,-,-,-,-,-,-,-,-,0.014,0.065,-,0.004,0.18,0.21,0.009,0.01,1.8,23.07,-,-,2.85,0.35,59.18,19.23,1.35,137.01,39.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
